空间评论,空间评分,动力评论,动力评分,操控评论,操控评分,能耗评论,能耗评分,舒适性评论,舒适性评分,外观评论,外观评分,内饰评论,内饰评分,性价比评论,性价比评分
前后排乘坐空间都不错，横向宽度很满意，后排坐垫比较短，不能调节长度，坐久了大腿下面觉得空,4,E模式永远二档起步，油门反应比较迟钝。换到S模式后，一二档换挡又有些顿挫。城里驾驶时转速基本上不了2000，上到3000的时候噪音又会传进驾驶舱,4,转向的感觉很好，调教的比迟钝的油门更直接。减震器的调教在舒适和运动中找到了很好的中间点。,4,276的3升直喷增压机很省油。之前开的272 3.5升ML在任何情况下油耗不可能低于10，而这台S320油耗只要不是特别堵的时候开到10以下很轻松，堵车的时候基本也在12以下，想必2.X的四缸车也不过这样了吧,5,座椅比较舒适，后排坐垫要是能调节长度就更好了。发动机高转速的噪音还是会传进驾驶舱，虽然不难听，但如果隔音做的更好，后排的舒适度还可以提高吧,3,见仁见智，个人觉得可能下一代A8和7也赶不上222的S,5,同外观。只是大型LCD屏不是人人喜欢，至少我不喜欢,4,不算高。80多万的车配置比较低，没有记忆包，车内后视镜还是手动防炫目，相比于A8 45豪华70多万的车型配置就是渣一样，这就是逼格和性价比无法兼得吧,5
很大，跷二郎腿没有丝毫问题,5,电机动力一般，汽油机动力不错，超车很轻松,3,舒适模式这车有操控么，运动模式还可以,4,比想象中略高，不过还不错,4,很好，头枕赞一个,5,很大气，不过个人更倾向于上届s,5,很好看，特别是晚上,5,有性价比么。。。,3
十分大很满意,5,3.0T动力，高速上提速很给力,5,只能说稳~~,5,新车没太在意,4,后排舒适度绝对刚刚的,5,大气，灯很漂亮,5,豪华，科技感足,5,一般吧，比宝马，捷豹，奥迪同级别同配置都贵,3
空间还是充足的，5250的长度 停车稍微会有些吃力。 360度的倒车影像是好，可是这个雷达 非得快撞上才叫！,5,平时开开还是足够的，就是瞬间加速的爆发力还是有点差距，V6低功率和V8真的不能比 V8的运动模式真的不只是转速提升， 那是真正的运动 根本停不下来！,4,W222的操控性真的非常的出色，变道超车都可以，就是悬挂整体调校偏软，就算运动模式也是一样，横向车身的支撑力度还是差了一些，如果再硬一些就好了。 那个也许就是AMG了吧！,5,市区12-13个油 高速9.4 还是很省的！,5,舒适性是没任何问题，这个奔驰的专业！,4,这代S级是真的漂亮，也适合年轻人！,5,氛围灯和内饰 真的非常漂亮！,5,320 豪华是性价比最高的，动力稍微弱了点。,5
四个人够用,5,没试过地板油，480的扭矩不是盖的,5,悬挂调整到运动模式还有点偏软,5,老板的车，自己开跟不养不起！市区基本就是20顶满格。,5,奔驰舒适性没得说,5,霸气！,5,豪华！根本不是奥迪宝马能比的！,5,还可以！,5
10分 这个级别不谈这个,5,8分 3.0T低功率发动机，E档有点肉。S档正合适,4,8分 一般般,4,9分 大车北京市内上下班10.5-11个油，很好了,5,10分 超级好，真的好。后座更好，可惜自己只坐过1次,5,10分 漂亮,5,10分 超级漂亮,5,10分 现在的市场价格很好了，建议买C级车的都升一级买D级吧,5
还可以吧，没有宝马7系的大,5,个人觉得可以，毕竟买这个车的不是去飙车用的。日常超车什么的都很给力,5,超控不错,5,综合油耗14个。我认为可以了,5,没的说。相当不错了,5,没的说。相当不错了,5,没的说。相当不错了,5,很一般了。只是品牌效用。属于愿打愿挨的那种。,3
D级车空间可想而知,4,提速还是可以的没有宝马X5提速快,4,一般不如宝马，但是很喜欢,5,可以接受，，，，，，,3,很好超赞赞赞赞赞,5,马马虎虎过的去,3,高大上，豪华。,4,不错。,5
空间没的说，后备箱也够用了。前排储物空间太小，不过这种车储物空间小是通病。十一期间我拉家里人从河南到新疆玩，我开着真的不累，后排座椅角度可以调节，基本可以实现“葛优躺”，只可惜没有腿托。,5,二百八十多匹马力，虽然是低功率入门，但是完全够用。在舒适模式下起步很稳，油门稍微有点迟滞，但很快提速也就随之而来。而动态模式下，油门的反馈就非常灵敏了，可以用蹿来形容。就是自动启停这个功能我取消不了很烦恼。,5,方向盘虚位比宝马大，开惯了宝马的人可能会有点不习惯。但是在弯道上的表现我认为四驱的A8会带给人更强的安全感，以前开的5系在山道拐弯时会有漂移的现象，毫无疑问，四驱的抓地力更强，在极限情况下我认为奥迪的操控性强于宝马。但是要说驾乘感受，宝马要更“爽”一些。刹车相比宝马有点偏软，却比酷路泽的硬多了，我认为很好。,4,5000公里，全程9.2。高速的油耗7.8左右。城市道路没注意，10-11之间的样子。,5,车内自带pm2.5过滤装置、香氛。座椅舒适度这个级别我认为对我来说完全够了，但是要对比的话，我认为同级别赶不上奔驰宝马，后排有点窄，且没有腿拖。车内噪音控制优秀，悬架减震效果优秀，很软，能够过滤掉很多地面细小的振动，但你还是会有细微的感觉，柔柔的很舒服。,5,外观设计保持了奥迪A8历代传统上的低调，沉稳和城府，同时新一代A8的设计更加年轻化。这就要求A8的车主有足够的气场去驾驭它，否则会被人当做司机，或者不伦不类。而宝马7相对来说，对车主的气场没那么大要求。可以这么说，能驾驭A8气场的人可以驾驭宝马7，而反过来不一定行得通。s级则是另一种感觉，它更豪华、霸气，更难驾驭，与A8的低调、城府是不一样的。奔驰宝马更适合出现在饭店购物中心，A8则更适合融入商务场合。,4,奥迪的内饰设计更简约、现代。很多人吐槽说豪华感不如奔驰宝马。这看你怎么去理解豪华，高端夜总会和高端茶馆哪个豪华？巴洛克风格和东方红木家具哪个豪华？再好看的美女，你天天看，也就那么回事。看个人对豪华得理解吧。奥迪的内饰更简约干练，氛围灯的线条我认为比奔驰宝马更精致。 carplay很好用，只是人机交互不如宝马。异味异响倒还好。4S店给我做了个除甲醛的项目，还行。 内饰材质我感觉还可以，就是这个级别车该有的水平。翻毛皮是个亮点，座椅通风上小孔的手感也很奈斯。 虚拟座舱的效果还不错，但是如果能把高德地图的效果投射在驾驶台上就完美了。车辆自带的导航还可以，无奈高德太逆天。,4,60—70万裸车区间，此车的性价比是无敌的（还有谁？）。60万以下的奥迪，除了S4，我都建议不要买。我是死活看不上双离合（除了pdk），适时四驱也失去了奥迪的精髓。因为，电子这个东西至少在这个时代，它的稳定性可靠性是赶不上机械的。 在C级车领域，我更推荐买5系。B级车我也是推荐买3系。30万以下如果让我买就是雅阁凯美瑞混动二选一，如果我再年轻到20岁刚毕业，我就买领克03+。 奥迪4S店服务和专业性一般，我感觉跟大众应该没啥区别。反正没宝马的好，我总觉得宝马的小哥哥小姐姐们笑起来更甜也更真诚。奥迪的销售经理有点像写字楼里的白领，似乎戴着一个无形面具。。,5
它的乘坐空间我认为完全没问题，毕竟这个级别的车了，空间都是最基本的。,5,动力很好，提速很快，3.0T的发动机加速完全没有问题。,5,车辆操控性还行。转弯很精准，盘子打起来也很轻松。,4,车辆油耗还是挺可以的，虽然车身很大，但是综合油耗只要12.8升，我可以接受。,4,整车舒适性，我觉得还是挺好的，坐在上面还是很舒服的，隔音效果也还不错。,4,这个车的外观看起来比较大气，我很喜欢这个造型，在路上走的时候回头率很高。,5,这个车的内饰刚开始看的时候觉得科技感很强，现在看久了觉得也就那么回事。,4,这个车的性价比我觉得还不错，买这个车就是看中了它的价格合适，优惠幅度大。,4
乘坐空间很大，坐在车内感觉还是很宽敞的。一家人坐在车内也不挤。,5,车子提速很快，基本上一般的车子都跑不过奥迪A8。,5,车身有点大，虽然很好开，但是不好停车，哈哈。,4,油耗显示的是12.8L，这个油耗我觉得还是挺不错的。,4,座椅很柔软，坐在车内感觉很舒服，减震效果很好。,5,车子的外观我很喜欢，看起来很大气。钣金做的也很好。,5,内饰是我喜欢的风格，看起来很有科技性，我很喜欢这个造型。,5,车辆性价比还是很不错的，开这个车出去就是身份的象征，很不错。,5
作为行政级轿车，后排空间自然不用担心，可以满足你大部分使用场景，后备箱空间不是很大，可能是因为有48v轻混系统，由于是四驱车，后排中间地台比较高,5,起步反应慢，油门调教偏沉，中后段爆发力强，高速超车如鱼得水，毕竟行政级轿车够用就行，想要速度就买性能车,4,方向盘没有老奥迪那种轻飘飘的感觉了，比之前沉了一些，个人还是喜欢偏沉重的方向盘，有安全感。由于车身太长，空气悬挂太软，操控的确不是它的强项，调到运动模式会好很多，底盘也会变硬 底盘：底盘舒适性非常好，调节到自动模式，低速的时候悬挂非常软，能过滤大部分路面颠簸，开高速悬挂变硬，变道时明显感觉支撑性变好,5,市区代步油耗大概13个多一点，快速路最低开到7.6L，高速8个多点，两吨多重的车，v6发动机这个成绩也不错了个成绩也不错了，现在有48v轻混和空档滑行功能,5,底盘舒适性非常好，调节到自动模式，低速的时候悬挂非常软，能过滤大部分路面颠簸，开高速悬挂变硬，变道时明显感觉支撑性变好 隔音降噪好，关上窗立刻与世隔绝 新车异味很大，现在一万公里了还没有散掉,5,仁者见仁，智者见智，低调大气不张扬，简约而不简单，矩阵式大灯，贯穿式尾灯，采用20寸轮毂，保证舒适度的前提下，大大提升了美观度,5,所有摸到的地方都是真皮包裹，而且皮质非常细腻。功能控制大部分都是触控，所有车企都在向这个方向发展，其实还是比较反感的，但是按键手机不也是被触摸屏手机颠覆了么。虽然现在内饰很有科技感，但是感觉质量真的不如以前了，中控台用塑料装饰的太多了，夏天太热会晒得噶蹦响,5,性价比非常高，同级别最好的四驱系统，价格也合适，而且家里一直都是奥迪的车，对奥迪还是有情怀的，希望烧机油的问题得到了解决,5
乘坐空间很大，车身长，储物空间一般吧，以前家里都是suv，对比比较明显，但也还好。☆ 空间设计亮点：后排空间非常大，女儿很喜欢坐后排，觉得比suv好。,5,3.0t，还可以吧，开大排量车习惯了，也不觉得很特别，够用。,4,整体感觉还可以，驾驶感比越野车好。运动模式响应非常迅速。,5,15左右吧，和我家其他大排量车差不多油耗。,5,隔音特别好，双层隔音玻璃。座椅整体感觉也不错。,5,看图吧 我本人很喜欢反正。就是a6远看基本一样。,5,我喜欢的性冷淡科技感 这个看个人喜好吧 有人就喜欢宝马那种富贵风 理解,5,d级车，20%以上的折扣，3.0t，四驱，还要什么自行车。,5
5米33多，空间没的说，车厂停车入库费点劲,5,低功率感觉很够用，推背感很有，发动机声音好听，转速2000以下3000以上基本是两台车的感觉，s挡随叫随到，d挡就转速偏低适合平稳驾驶，稍微深踩降档还算利落，这个变速箱感觉配合的挺好，我也不是很懂这套变速箱具体怎么样，请各位指导吧。,5,也不太懂操控，全油门超车和雪地转弯时体验都很好，5米33多的车身2.6吨多的车重，运动模式开起来却毫无笨重感。底盘十分规整，德国的工艺让人惊讶。,5,120km/h巡航基本在8左右，80km/h巡航在5左右，市区拥堵和激烈驾驶在15-16，市区正常在12.5，疫情期间路上车少，市区能开到11.8，还在降，启动时烘车的油耗也算，所以刚启动是40，越开越降，48v动能回收系统确实是好东西。,5,舒适性肯定不错的，座椅没奔驰那么软，但是也很舒服，前排调节的部位非常多，后排能半躺。电动遮阳帘也很实用。底盘很舒服，路况不好升起底盘很好用，不过底盘升高是30km/h以下才能升，超过35km/h自动降回。开惯了这个再开xc60感觉像拖拉机，颠的我肝颤，哈哈哈，人的适应性感受就是这么明显，不过xc60毕竟suv，而且底盘支撑性很强，高速拐弯有安全感，颠是颠了点。,5,买的时候忽略了大灯和尾灯中配低配都不一样，很是后悔，中配灯是真的好看，低配是风格上不出错的感觉。那时中配没现车，提的这辆还原厂选装了全景影像系统，想想那也差不多就提了，直到遇到了高配a8，灯差很多的！整体外观嘛，不跳，设计拿捏的可以说完美，最不出错的外观。心疼q7设计师。,5,空调出风口自动翻起和隐藏是亮点，这套内饰让人感觉很利索，直线条运用的很多，跟奔驰截然不同，说是科技感，我感觉不全面，还能读出一些高贵和利落的感觉。,5,之前也说了，相比之下a8性价比确实很高，奥迪是很愿意往车上加新技术的品牌，电子系统很多，但可靠性应该也过得去，还想说德国的工艺真的震撼。,5
